x,y,yaw
2.9508013782280713,-2.4194412509941805,-3.141592653589792
2.9308013782280713,-2.4194412509941805,-3.141592653589792
2.9108013782280713,-2.4194412509941805,-3.141592653589792
2.8908013782280713,-2.4194412509941805,-3.141592653589792
2.8708013782280712,-2.4194412509941805,-3.141592653589792
2.8508013782280712,-2.4194412509941805,-3.141592653589792
2.830801378228071,-2.4194412509941805,-3.141592653589792
2.810801378228071,-2.4194412509941805,-3.141592653589792
2.790801378228071,-2.4194412509941805,-3.141592653589792
2.770801378228071,-2.4194412509941805,-3.141592653589792
2.750801378228071,-2.4194412509941805,-3.141592653589792
2.730801378228071,-2.4194412509941805,-3.141592653589792
2.711894426659918,-2.416107445309767,-3.3161255787892245
2.6938536234515684,-2.4095411299396736,-3.4906585039886573
2.677227129279421,-2.399941819053705,-3.66519142918809
2.6625201317554854,-2.3876011828556454,-3.839724354387523
2.650179495557426,-2.3728941853317096,-4.014257279586956
2.640580184671457,-2.356267691159563,-4.188790204786389
2.6340138693013637,-2.338226887951213,-4.3633231299858215
2.63068006361695,-2.31931993638306,-4.537856055185254
2.63068006361695,-2.3001213146111223,-4.712388980384687
2.627346257932536,-2.2812143630429693,-4.537856055185254
2.6207799425624425,-2.2631735598346197,-4.3633231299858215
2.611180631676474,-2.246547065662473,-4.188790204786389
2.5988399954784143,-2.231840068138537,-4.014257279586956
2.5841329979544785,-2.2194994319404775,-3.8397243543875232
2.5675065037823313,-2.209900121054509,-3.6651914291880905
2.5494657005739816,-2.2033338056844154,-3.4906585039886577
2.5305587490058286,-2.200000000000002,-3.316125578789225
2.511360127233891,-2.200000000000002,-3.1415926535897922
2.4913601272338908,-2.200000000000002,-3.1415926535897922
2.4713601272338908,-2.200000000000002,-3.1415926535897922
2.4513601272338907,-2.200000000000002,-3.1415926535897922
2.4313601272338907,-2.200000000000002,-3.1415926535897922
2.4113601272338907,-2.200000000000002,-3.1415926535897922
2.3913601272338907,-2.200000000000002,-3.1415926535897922
2.3713601272338907,-2.200000000000002,-3.1415926535897922
2.3513601272338907,-2.200000000000002,-3.1415926535897922
2.3313601272338906,-2.200000000000002,-3.1415926535897922
2.3113601272338906,-2.200000000000002,-3.1415926535897922
2.2913601272338906,-2.200000000000002,-3.1415926535897922
2.2724531756657376,-2.1966661943155885,-3.316125578789225
